    ar	ai
1116.031840	0.000000
0.157458	-1.816790
-0.053241	-0.833656
0.038464	0.053025
-0.290149	-0.184871
0.093572	-0.450212
0.106367	-0.180420
-0.147045	-0.151080
-0.130186	0.039846
-0.025374	-0.135649
0.155091	-0.073732
-0.006222	-0.028218
-0.086593	0.024057
-0.135818	-0.076156
0.144687	-0.061819
0.096273	0.048130
-0.060832	0.007793
-0.014809	-0.112104
0.044629	-0.006308
0.045747	0.046962
-0.017784	-0.032582
-0.008521	-0.154858
-0.013413	-0.023718
-0.022353	0.021259
0.048946	-0.025908
-0.001931	-0.063876
-0.026267	-0.101499
0.059413	-0.023534
-0.008498	0.032256
0.009748	-0.040813
-0.047564	-0.019448
0.003757	-0.080898
0.028959	-0.034496
-0.029910	0.021651
-0.039907	-0.033711
0.061742	-0.066670
0.035313	-0.023005
-0.032960	0.027243
-0.023624	-0.016581
0.024507	-0.026574
0.031991	-0.012259
-0.054073	-0.009943
0.014630	0.002130
0.003838	-0.018862
0.022938	-0.049922
-0.023451	-0.000409
-0.012529	-0.005977
0.000376	-0.014041
0.023623	-0.030533
0.030752	-0.028549
-0.003206	-0.009736
-0.013885	-0.019701
0.000381	-0.038221
0.016017	0.009667
-0.015682	0.007522
0.027611	-0.040876
0.015642	0.004837
-0.033295	-0.035890
0.026327	-0.028246
0.005107	0.017694
-0.030154	-0.008893
0.006846	-0.035068
0.015718	-0.009221
0.004471	-0.004692
-0.005670	-0.014827
-0.023570	-0.017666
0.011537	-0.008526
0.023115	0.002316
0.013788	-0.005794
-0.023226	-0.025954
0.006880	-0.042349
0.010914	0.013201
-0.022729	-0.009697
-0.010507	-0.027872
0.013391	-0.028535
0.016093	0.000202
-0.006657	0.015094
-0.000455	-0.040389
0.017813	-0.017293
0.018263	0.012459
-0.002999	0.011832
0.008332	-0.027781
0.017251	-0.039749
0.002038	-0.011907
-0.020669	-0.004520
0.005232	-0.025258
0.014438	-0.013167
-0.003666	0.001891
0.003365	-0.005267
0.014529	-0.000364
